Filename,Valuetype,Problem Size,Bytes,Multiplication Time ms,Access Method
./baseline,f,1048576,4194328,14306.79,heap allocated 1D RowMajor
./baseline,f,1048576,4194328,14357.07,heap allocated 1D RowMajor
./baseline,f,1048576,4194328,14261.31,heap allocated 1D RowMajor
./transposed,f,1048576,4194328,9461.45,heap allocated 1D RowMajor
./transposed,f,1048576,4194328,9566.24,heap allocated 1D RowMajor
./transposed,f,1048576,4194328,9504.09,heap allocated 1D RowMajor
./O2,f,1048576,4194328,3121.94,heap allocated 1D RowMajor
./O2,f,1048576,4194328,3356.25,heap allocated 1D RowMajor
./O2,f,1048576,4194328,3347.88,heap allocated 1D RowMajor
./O2_transposed,f,1048576,4194328,1187.31,heap allocated 1D RowMajor
./O2_transposed,f,1048576,4194328,1189.49,heap allocated 1D RowMajor
./O2_transposed,f,1048576,4194328,1183.46,heap allocated 1D RowMajor
